% Model:              cpw-sheet-shift-5bma.mph
% Version:            COMSOL 6.3.0.290
% Date:               Sep 24 2026, 10:59
% Dimension:          3
% Nodes:              610
% Expressions:        1
% Description:        Electric field norm
% Length unit:        µm
% x                       y                        z                        emw.normE (V/m) @ freq=7.5
717.9326882603806         5.311340501413994        1                        1296256.8492549893
717.9326882603765         -4.260183423294631       1                        661642.8622962048
770.5118529266861         -4.879126498758259       1                        1312957.1120738906
819.250534526454          -4.879126498758259       1                        1155710.0677470446
819.2505345264537         4.551266350223674        1                        657820.5017887268
819.250534526454          -10.537362208147417      1                        1134004.5821740804
770.5118529266862         -10.537362208147417      1                        1068055.2936678373
770.5118529266895         4.551266350223674        1                        769412.3560701383
768.4107565494783         -10.58361161644678       0.9999999999999999       1119159.2389387214
718.4824781933688         -4.8385945511872865      0.9999999999999999       1289745.3967745274
718.482478193371          -10.58361161644678       0.9999999999999999       982534.1976788376
768.4107565494782         -4.8385945511872865      0.9999999999999999       1297692.4052662693
768.4107565494817         4.736433890911867        0.9999999999999999       741823.7586605573
817.9776582191813         -12.140850618542505      0.9999999999999998       391113.65804822283
790.4830988234042         -39.85835268359825       0.9999999999999998       38789.917588754346
769.548196186247          -12.140850618542505      0.9999999999999998       320052.5914731662
720.686091411957          -12.140850618542505      0.9999999999999998       231872.51623551256
806.0354065007393         43.98302552027695        1                        37164.989834631466
841.6674355314933         76.99707598470351        1                        17223.95918181055
820.9536576596665         -4.680492190044756       1                        656825.6036784265
820.9536576596662         5.100424838639777        1                        1024249.7792737331
820.9536576596665         10.968975055850494       1                        631988.5356712233
821.4722773832478         -5.475743410219772       1                        1281922.6183583962
864.1360232388816         -5.475743410219772       1                        1232523.2351495528
864.1360232388813         -11.187527113095747      1                        866723.8071140443
821.4722773832478         -11.187527113095747      1                        764144.3387113371
793.5403043209433         -39.34598966166898       1                        50711.445985089944
832.9939382847307         -41.03366686531284       1                        28331.297163678977
748.9566815964104         -55.77465899372196       0.9999999999999998       21224.393505449912
865.7158717029986         -5.26357591072546        1                        1054150.0450493572
865.7158717029982         -11.10050498503306       1                        711066.6148476521
793.2659931005121         -40.95353602997662       0.9999999999999999       31678.013503882736
833.1826618655973         -42.6610201107097        0.9999999999999999       27881.623968042455
864.6902358170854         -12.464600802435546      0.9999999999999999       126639.0933645132
897.6302276767261         -59.846474167094335      0.9999999999999999       17849.947737889033
898.9871028506176         -58.95884288748773       1                        38089.38429913965
900.0000000000001         -57.12914489823693       1                        72346.19380473062
900                       -59.70099991869447       0.9999999999999999       33699.70998344456
562.4731544654519         -4.7941968645516795      1                        850330.4531432797
612.3928923153063         -4.7941968645516795      1                        1349317.5846485738
612.3928923153085         -10.538206695808327      1                        867876.2571963395
612.3928923153104         4.779152854209398        1                        1328591.9941919304
562.4731544654557         4.779152854209398        1                        1221273.5440751172
611.4648656194387         -11.50692059406907       1                        523650.41347046604
561.5438082189389         -11.50692059406907       1                        834829.9706566615
561.5438082189368         -5.762758928844413       1                        1088137.104529531
592.1273275267532         -52.32537937685494       1                        12449.132172055091
562.4731544654519         10.523162685466044       1                        1080774.0384553615
612.3928923153063         10.523162685466044       1                        996859.8147944239
614.088013276418          -4.67624692755107        1                        1355052.451983678
664.5313605787971         -4.67624692755107        1                        1189987.4239052292
664.5313605787996         -10.480505830068592      1                        1080930.5539878604
664.5313605788012         4.997517909978134        1                        1280511.8285066236
614.0880132764222         4.997517909978134        1                        1285185.8089068502
614.0880132764202         -10.480505830068592      1                        821192.8839651595
614.088013276418          10.801776812495655       1                        893844.2780257786
664.5313605787971         10.801776812495655       1                        623687.9029883615
643.8587472145206         -60.315293465989924      1                        29718.515547875428
649.5775767677903         107.21202069109344       1                        40959.911487305944
650.3565716479656         109.24832053947122       1                        16338.158509105662
605.6009702812565         59.17060100014178        1                        20913.04492890671
647.5572745884742         107.53942518778784       1                        11857.75207788727
603.3982850199191         59.93952849952397        1                        19691.186137018372
611.906494865313          11.450071523982134       1                        281319.3762042475
561.3373408740579         11.450071523982134       1                        222746.75952784385
600.775631084301          59.378084532802596       1                        15173.921401933805
559.357906769512          11.630155855256994       1                        673798.6627991336
509.56208498342386        11.630155855256994       1                        1016929.8235039319
559.3579067695158         5.900404413951535        1                        1408938.0988573094
509.5620849834274         5.900404413951535        1                        1434822.4342935928
648.3355910667594         110.06503225355827       1                        17908.843608628868
665.6021386783383         11.66060491317516        1                        161431.8756978752
783.007951385277          110.06503225355827       1                        5690.607936312381
784.4772094272794         111.00000000000017       1                        4011.9521882790473
783.1408194069165         111.00000000000017       1                        1690.7318232918894
648.0409925692665         111.00000000000017       1                        2636.819922980923
716.7441495052619         -11.259866183813026      0.9999999999999999       791520.2317520835
746.1252675733085         -56.607701770728866      0.9999999999999999       24748.790787265916
665.9624223548597         -11.259866183813026      0.9999999999999999       753453.9832088479
699.5678986069046         -41.60158712668675       0.9999999999999999       29744.6329589803
665.9624223548572         -5.416671636649471       0.9999999999999999       1346061.2870707745
645.1511346927289         -61.428951378646         0.9999999999999999       21315.938061911605
716.7441495052598         -5.416671636649471       0.9999999999999999       1086614.0204009402
810.2782311531626         -113.46886584568028      0.9999999999999999       4180.836182973875
808.7857370899092         -114.46109920322337      1                        4406.50678446086
791.473233991595          -40.66587789111278       1                        30103.872512296664
748.0377159746862         -57.31390716166161       1                        21860.323684010393
716.9972002025092         -104.0054159774573       1                        4796.070726282786
715.2833174798079         -103.00052575781616      0.9999999999999999       4929.93791801673
899.2007291623422         -156.80913603900606      1                        1478.6777584517492
809.8871677216771         -116.08244927949528      1                        3127.046160502084
899.2007291623422         -61.2559202431625        1                        12790.625901692767
900                       -156.80834605863325      1                        1719.3212097337628
900.0000000000001         -157.72482170750723      1                        1278.7305766751685
